연번,구분,기관명,주소,전화번호 
32,종합병원 정신과,창원경상국립대학교병원,"경남 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",055-214-1000
33,종합병원 정신과,창원파티마병원,"경남 창원시 의창구 창이대로 45 (명서동, 창원파티마병원)",055-270-1000
34,종합병원 정신과,창원한마음병원,"경남 창원시 성산구 원이대로682번길 21 (상남동, 한마음창원병원)",055-225-0000
35,종합병원 정신과,경상국립대학교병원,"경남 진주시 강남로 79 (칠암동, 경상대학교병원)",055-750-8000
36,종합병원 정신과,조은금강병원,경남 김해시 김해대로 1814-37 (삼계동),055-330-0300
37,종합병원 정신과,김해중앙병원,"경남 김해시 분성로 94-8 (외동, 김해중앙병원)",055-330-6000
38,종합병원 정신과,양산부산대학교병원,"경남 양산시 물금읍 금오로 20 (범어리, 양산부산대학교병원)",1577-7512
39,일반병원 정신건강의학과,해군해양의료원,경남 창원시 진해구 진해대로963번길 35 (자은동),055-907-5737
40,일반병원 정신건강의학과,합천고려병원,경남 합천군 대양면 대야로 737-20 (정양리),055-933-1006
41,정신건강의학과 의원,닥터진정신건강의학과의원,"경남 창원시 성산구 원이대로 646 (상남동, 에이스빌딩)",055-274-0088
42,정신건강의학과 의원,마음가는정신건강의학과의원,"경남 창원시 성산구 상남로 73 (상남동, 서울메디컬센터)",055-282-1575
43,정신건강의학과 의원,루이스정신건강의학과의원,"경남 창원시 성산구 마디미서로 26 (상남동, 한독빌딩)",055-275-7595
44,정신건강의학과 의원,마음과마음정신건강의학과의원,"경남 창원시 성산구 원이대로 591 (용호동, X프리빌딩)",055-274-2332
45,정신건강의학과 의원,열린마음정신건강의학과의원,"경남 창원시 성산구 원이대로 652 (상남동, 롯데빌딩)",055-282-7171
46,정신건강의학과 의원,이도윤정신건강의학과의원,"경남 창원시 의창구 의안로 41 (소답동, 성림메디칼빌딩)",055-255-0708
47,정신건강의학과 의원,이인섭정신건강의학과의원,"경남 창원시 성산구 상남로 122 (상남동, 롯데메디컬)",055-262-8935
48,정신건강의학과 의원,이정표정신건강의학과의원,"경남 창원시 의창구 우곡로217번길 36 (명서동, 모리스빌딩)",055-238-5623
49,정신건강의학과 의원,창원정신건강의학과의원,"경남 창원시 성산구 원이대로 578 (중앙동, 구트병원빌딩)",055-289-6609
50,정신건강의학과 의원,성가정신건강의학과의원,"경남 창원시 성산구 원이대로 587 (용호동, 정우상가)",055-275-3557
51,정신건강의학과 의원,마음편한정신건강의학과의원,"경남 창원시 성산구 동산로 124 (상남동, 성원아파트)",055-719-2468
52,정신건강의학과 의원,창원아이정신건강의학과의원,경남 창원시 성산구 용지로133번길 3 (중앙동),055-264-2004
53,정신건강의학과 의원,더행복한정신건강의학과의원,경남 창원시 마산합포구 3.15대로 261 (중앙동3가),055-245-7773
54,정신건강의학과 의원,문석호정신건강의학과의원,"경남 창원시 마산합포구 해안대로 15 (해운동, 파라다이스빌딩)",055-222-0076
55,정신건강의학과 의원,배신경정신과의원,"경남 창원시 마산합포구 서성로 56 (신포동2가, 배신경정신과의원)",055-244-8686
56,정신건강의학과 의원,삼성정신건강의학과의원,"경남 창원시 마산회원구 3.15대로 800 (합성동, 선비뇨기과의원)",055-255-1586
57,정신건강의학과 의원,송성민정신건강의학과의원,"경남 창원시 마산합포구 합포로 74-1 (오동동, 농협)",055-245-0028
58,정신건강의학과 의원,이문신경정신과의원,"경남 창원시 마산회원구 3.15대로 772 (합성동, 경남고시학원)",055-293-1222
59,정신건강의학과 의원,이상돈신경정신과의원,"경남 창원시 마산회원구 3.15대로 744 (합성동, 송하빌딩)",055-252-9559
60,정신건강의학과 의원,정청정신건강의학과의원,"경남 창원시 마산회원구 3.15대로 773 (합성동, 정청신경외과)",055-255-7504
61,정신건강의학과 의원,정환증정신건강의학과의원,"경남 창원시 마산회원구 3.15대로 765-1 (합성동, 우성빌딩)",055-297-9164
62,정신건강의학과 의원,제일신경정신과의원,"경남 창원시 마산합포구 가포로 12 (해운동, 선진상가)",055-248-4845
63,정신건강의학과 의원,삼성공감정신건강의학과의원,"경남 창원시 마산회원구 3.15대로 775 (합성동, 합성메디칼센타)",055-292-1275
64,정신건강의학과 의원,최병훈정신건강의학과의원,"경남 창원시 진해구 충장로 133 (여좌동, 진해메디칼센타)",055-551-2275
65,정신건강의학과 의원,이끌림정신건강의학과의원,경남 창원시 진해구 진해대로1114번길 15 (장천동),055-715-3577
66,정신건강의학과 의원,공감정신건강의학과의원,경남 진주시 순환로 527 (평거동),055-748-3500
67,정신건강의학과 의원,명원정신건강의학과의원,"경남 진주시 진양호로 526 (본성동, 명원빌딩)",055-763-7525
68,정신건강의학과 의원,박지혜정신건강의학과의원,경남 진주시 사들로 83 (충무공동),055-755-8808
69,정신건강의학과 의원,새빛정신건강의학과의원,경남 진주시 진주대로 1083 (평안동),055-743-8775
70,정신건강의학과 의원,정학송정신건강의학과의원,경남 진주시 비봉로24번길 14 (중안동),055-741-4585
71,정신건강의학과 의원,진주정신건강의학과의원,경남 진주시 진주대로 871 (주약동),055-755-9909
72,정신건강의학과 의원,치유정신건강의학과의원,경남 진주시 동진로 182 (상대동),055-762-7679
73,정신건강의학과 의원,한빛정신건강의학과의원,경남 진주시 진주대로 1083 (평안동),055-741-1515
74,정신건강의학과 의원,해마음정신건강의학과의원,경남 진주시 진주대로 880 (칠암동),055-754-3375
75,정신건강의학과 의원,통영정신건강의학과의원,"경남 통영시 중앙로 289 (북신동, 그랜드빌딩)",055-646-3111
76,정신건강의학과 의원,황박정신건강의학과의원,"경남 통영시 중앙로 269 (북신동, 황박신경정신과의원)",055-641-7070
77,정신건강의학과 의원,김철주정신건강의학과의원,경남 김해시 가락로 84 (서상동),055-332-7265
78,정신건강의학과 의원,김재형정신건강의학과의원,"경남 김해시 장유로 232 (부곡동, 코아상가)",055-313-5432
79,정신건강의학과 의원,공감정신건강의학과의원,"경남 김해시 능동로149번길 6 (부곡동, 남일빌딩)",055-325-8275
80,정신건강의학과 의원,한농교정신건강의학과의원,경남 김해시 내외중앙로 44 (외동),055-325-7725
81,정신건강의학과 의원,이기주정신건강의학과의원,"경남 김해시 분성로 321 (서상동, 골든에비뉴)",055-336-0938
82,정신건강의학과 의원,해맑은정신과의원,경남 김해시 삼계중앙로 22 (삼계동),055-332-2622
83,정신건강의학과 의원,보듬앤정신건강의학과의원,"경남 김해시 삼계중앙로 27 (삼계동, 삼계메디칼)",055-333-3351
84,정신건강의학과 의원,마음숲정신건강의학과의원,경남 김해시 율하3로 38 (율하동),055-723-3445
85,정신건강의학과 의원,양정신건강의학과의원,경남 밀양시 북성로2길 15-9 (내이동),055-352-0075
86,정신건강의학과 의원,밀양정신건강의학과의원,경남 밀양시 삼문중앙로 38 (삼문동),055-356-9111
87,정신건강의학과 의원,거제정신건강의학과의원,경남 거제시 고현로 88 (고현동),055-635-7475
88,정신건강의학과 의원,김찬우정신건강의학과의원,경남 거제시 거제중앙로 1893 (고현동),055-633-7515
89,정신건강의학과 의원,라움정신건강의학과의원,"경남 양산시 양산역6길 3 (중부동, 센트럴스위트)",055-383-2468
90,정신건강의학과 의원,맑음정신건강의학과의원,"경남 양산시 동면 금오로 255 (석산리, 양산제일병원)",055-362-6636
91,정신건강의학과 의원,박정신건강의학과의원,"경남 양산시 삼일로 104 (중부동, 중앙의원)",055-388-5340
92,정신건강의학과 의원,양산숲정신건강의학과의원,"경남 양산시 물금읍 청운로 178 (가촌리, 아르누보시티)",055-785-2322
93,정신건강의학과 의원,양정신건강의학과의원,경남 양산시 번영로 13 (덕계동),055-781-1214
94,정신건강의학과 의원,보스턴정신건강의학과의원,"경남 양산시 물금읍 증산역로 180 (증산리, 네오&스타)",055-372-2003
95,정신건강의학과 의원,월화수정신건강의학과의원,"경남 함양군 함양읍 함양로 1173 (교산리, 반월빌딩)",055-963-9819
96,정신건강의학과 의원,시온정신건강의학과의원,경남 거창군 거창읍 중앙로 163-4 (대동리),055-944-1575
